name	len	score	pvalue
MetaSPAdes.k21-143.D17_NODE_9264_length_3367_cov_0.663202_circularA_MAG_11971	3367	0.008190067484974861	0.3581463856786766
MetaFlye.tres-o3000-3x.NX_contig_1049_length_5785_circularA_MAG_5940	5785	0.17983026802539825	0.15392023566734647
MetaSPAdes.k21-127.N24-D81_NODE_8354_length_2749_cov_327.062568_circularA_MAG_2563	2749	0.8240052461624146	0.023396782234307727
MetaSPAdes.k21-143.D28_NODE_3906_length_6076_cov_6.695688_circularA_MAG_7583	6076	0.13111670315265656	0.17331369438779365
MetaSPAdes.k21-127.N17-D32_NODE_833_length_9352_cov_2.966317_circularA_MAG_1500	9352	0.7941511869430542	0.02579499962232797
MetaSPAdes.k21-143.D50_NODE_2930_length_5316_cov_7.002822_circularA_MAG_3047	5316	0.9718819856643677	0.010518166024624217
MetaSPAdes.k21-127.N16-D11_NODE_733_length_32785_cov_70.284215_circularA_MAG_2420	32785	0.9277650117874146	0.015786690837676563
MetaSPAdes.k21-143.D33_NODE_4223_length_4148_cov_1.184908_circularA_MAG_1472	4148	0.8790571689605713	0.01933680791600574
MetaFlye.tres-o3000-3x.N21_contig_726_length_44786_circularA_MAG_2168	44786	0.9964551329612732	0.005532895233778986
MetaSPAdes.k21-143.D4_NODE_1082_length_10122_cov_1.795594_circularA_MAG_4181	10122	0.19881278276443481	0.14717878993881714
MetaSPAdes.k21-143.D116_NODE_2271_length_6085_cov_8.353492_circularA_MAG_2086	6085	0.8733772039413452	0.019865548757459023
MetaSPAdes.k21-143.D83_NODE_810_length_34126_cov_2.513099_circularA_MAG_6172	34126	0.9999738931655884	0.0008875292695822947
MetaSPAdes.k21-127.N18-D110_NODE_2921_length_6085_cov_17.887757_circularA_MAG_2086	6085	0.871578574180603	0.020016617569302817
MetaSPAdes.k21-143.D53_NODE_6343_length_4148_cov_129.462392_circularA_MAG_1472	4148	0.866366982460022	0.02037540599743183
MetaFlye.tres-o3000-3x.N24_contig_1057_length_43774_circularA_MAG_817	43774	0.9799540638923645	0.009309615529873857
MetaSPAdes.k21-143.D37_NODE_3183_length_3954_cov_1.424380_circularA_MAG_372	3954	0.38460662961006165	0.10008308784651408
MetaFlye.tres-o3000-3x.N6_contig_694_length_8718_circularA_MAG_603	8718	0.06145593151450157	0.22133469295263994
MetaSPAdes.k21-127.N18-D124_NODE_2077_length_9643_cov_10.716478_circularA_MAG_1260	9643	0.1183023750782013	0.1795452828763502
MetaSPAdes.k21-143.D20_NODE_709_length_32787_cov_6.345228_circularA_MAG_2420	32787	0.9271413683891296	0.015843341642117984
MetaSPAdes.k21-143.D6_NODE_2554_length_4461_cov_0.597176_circularA_MAG_3124	4461	0.9952709674835205	0.0060049852707908455
MetaSPAdes.k21-127.N19-D30_NODE_2445_length_4148_cov_97.986017_circularA_MAG_4366	4148	0.9720703363418579	0.010480398821663267
MetaSPAdes.k21-143.D122_NODE_3031_length_3555_cov_0.262447_circularA_MAG_2552	3555	0.24444501101970673	0.13375254928619987
MetaFlye.tres-o3000-3x.NX_contig_3083_length_7799_circularA_MAG_613	7799	0.12519396841526031	0.17614623460986478
MetaSPAdes.k21-127.N30-D67_NODE_8566_length_2749_cov_140.491815_circularA_MAG_2563	2749	0.8127410411834717	0.024227660699448598
MetaSPAdes.k21-143.D71_NODE_2959_length_2749_cov_139.514733_circularA_MAG_2563	2749	0.8191912174224854	0.023831105068358636
MetaSPAdes.k21-143.D118_NODE_6552_length_2749_cov_26.025100_circularA_MAG_2563	2749	0.834932804107666	0.022565903769166857
MetaSPAdes.k21-143.D113_NODE_9989_length_2749_cov_171.690433_circularA_MAG_2563	2749	0.8199737071990967	0.023736687060956267
MetaFlye.tres-o3000-3x.N6_contig_331_length_97880_circularA_MAG_1050	97880	0.15800397098064423	0.16145479265805573
MetaSPAdes.k21-143.D55_NODE_5331_length_4148_cov_50.276278_circularA_MAG_4366	4148	0.9728786945343018	0.010216028400936626
MetaSPAdes.k21-143.D125_NODE_4093_length_6076_cov_10.633147_circularA_MAG_7583	6076	0.13269156217575073	0.17259611753153561
MetaSPAdes.k21-127.N18-D62_NODE_8475_length_2774_cov_1.967195_circularA_MAG_4052	2774	0.9906768798828125	0.007251302968502153
MetaSPAdes.k21-143.D31_NODE_3005_length_5508_cov_1.982026_circularA_MAG_7491	5508	0.9741023778915405	0.010046075987612358
MetaSPAdes.k21-127.N29-D71_NODE_180_length_62501_cov_14.718229_circularA_MAG_3477	62501	0.9997539520263672	0.0022093813732154996
MetaSPAdes.k21-127.N22-D90_NODE_3676_length_6076_cov_18.532093_circularA_MAG_7583	6076	0.1153278648853302	0.1809237857844248
MetaSPAdes.k21-127.N26-D29_NODE_1209_length_12811_cov_11.003278_circularA_MAG_9276	12811	0.152384415268898	0.1636830576327517
MetaSPAdes.k21-127.N6-D40_NODE_3486_length_5316_cov_2.395598_circularA_MAG_3047	5316	0.9718769192695618	0.010518166024624217
MetaFlye.tres-o3000-3x.N7_contig_1266_length_3247_circularA_MAG_3330	3247	0.02441641315817833	0.2811579424427827
MetaSPAdes.k21-127.N6-D40_NODE_194_length_63102_cov_5.181452_circularA_MAG_6020	63102	0.9259014129638672	0.015881108845078932
MetaFlye.tres-o3000-3x.N8_contig_1932_length_5859_circularA_MAG_1144	5859	0.14913877844810486	0.16491049172898256
MetaFlye.tres-o3000-3x.NX_contig_1798_length_6462_circularA_MAG_1806	6462	0.0704408586025238	0.2120817282272075
MetaFlye.tres-o3000-3x.NX_contig_5386_length_10179_circularA_MAG_1777	10179	0.13226555287837982	0.17280383714782083
MetaSPAdes.k21-143.D38_NODE_1270_length_5316_cov_3.978367_circularA_MAG_3047	5316	0.9718819856643677	0.010518166024624217
MetaSPAdes.k21-143.D38_NODE_1549_length_4148_cov_39.754581_circularA_MAG_1472	4148	0.8794605135917664	0.019299040713044793
MetaSPAdes.k21-127.N28-D64_NODE_6334_length_2621_cov_5.151469_circularA_MAG_3874	2621	0.047775156795978546	0.23751793942140645
MetaSPAdes.k21-127.N26-D69_NODE_1996_length_9643_cov_5.948771_circularA_MAG_1260	9643	0.11838860809803009	0.17948863207190877
MetaSPAdes.k21-127.N14-D28_NODE_3105_length_10122_cov_12.408121_circularA_MAG_4181	10122	0.19851726293563843	0.14729209154769998
MetaFlye.tres-o3000-3x.N1_contig_1451_length_7537_circularA_MAG_352	7537	0.10704313963651657	0.18570133695898483
MetaFlye.tres-o3000-3x.N8_contig_1012_length_7084_circularA_MAG_1231	7084	0.22547399997711182	0.13898330689629126
MetaSPAdes.k21-143.D98_NODE_2286_length_5325_cov_0.639812_circularA_MAG_269	5325	0.6354681253433228	0.038635848629050534
MetaSPAdes.k21-143.D99_NODE_3786_length_4883_cov_1.458120_circularA_MAG_4616	4883	0.9785332083702087	0.0094984515446786
